#Position (bp)	mapping quality
4123039.0	12.89398516890964
1.2369116E7	7.576050576422462
2.0615193E7	5.71380846325167
2.886127E7	18.594401429422277
3.7107347E7	13.882086167800454
4.5353424E7	0.7340988543602117
5.3599501E7	5.249375780274657
6.1845578E7	6.775014801657786
7.0091655E7	21.930434782608696
7.8337732E7	10.33157894736842
8.6583809E7	7.352788586251621
9.4829886E7	7.267026298044504
1.03075963E8	20.077319587628867
1.1132204E8	6.3784673248707096
1.19568117E8	6.035476718403547
1.27814194E8	0.0
1.36060271E8	0.0
1.44306348E8	1.3213665315576144
1.52552425E8	9.297330850403476
1.60798502E8	4.440023752969121
1.69044579E8	12.157142857142857
1.77290656E8	8.710875331564987
1.85536733E8	5.624134520276954
1.9378281E8	5.374764595103578
2.02028887E8	4.790287574606619
2.10274964E8	8.550757575757576
2.18521041E8	5.0375782881002085
2.26767118E8	7.5404323458767015
2.35013195E8	9.40142210730446
2.43259272E8	5.369481022463207
2.481693665E8	11.37190082644628
2.4904395E8	0.0
2.491474935E8	0.0
2.492273505E8	0.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	0.0
2.49528459E8	0.0
2.49636853E8	0.0
2.49678084E8	0.0
2.52663665E8	8.474213836477988
2.59751426E8	14.103038309114927
2.67997503E8	10.941435768261965
2.7624358E8	4.783479630880036
2.84489657E8	2.851998139994549
2.92735734E8	6.27763923524522
3.00981811E8	1.9374030005173306
3.09227888E8	6.0994059405940595
3.17473965E8	8.905570291777188
3.25720042E8	3.7572443958447237
3.33966119E8	7.1515748031496065
3.42212196E8	8.70216306156406
3.50458273E8	4.063373083475298
3.5870435E8	15.074946466809422
3.66950427E8	10.445410628019324
3.75196504E8	8.743078626799557
3.83442581E8	4.30174081237911
3.91688658E8	15.9009009009009
3.99934735E8	13.10177372137076
4.08180812E8	9.585439838220426
4.16426889E8	18.15496183206107
4.24672966E8	15.836842105263157
4.32919043E8	7.62
4.4116512E8	9.765
4.49411197E8	6.486895161290323
4.57657274E8	3.0378061767838127
4.65903351E8	4.124678663239075
4.74149428E8	7.4860759493670885
4.82395505E8	17.46315789473684
4.892055075E8	16.243744955609362
4.91973207E8	0.0
4.92130842E8	0.0
4.93486181E8	29.71186440677966
4.98887659E8	16.824273072060684
5.07133736E8	3.1487942534633144
5.15379813E8	23.62962962962963
5.2362589E8	3.1722268557130944
5.31871967E8	8.32889344262295
5.40118044E8	7.137019230769231
5.48364121E8	13.894153846153847
5.56610198E8	8.553985872855701
5.64856275E8	1.4833189418321688
5.73102352E8	13.771428571428572
5.81348429E8	5.8772040302267
5.89594506E8	4.557471264367816
5.97840583E8	8.635802469135802
6.0608666E8	5.659016393442623
6.14332737E8	9.496833901607404
6.22578814E8	4.522896698615549
6.30824891E8	7.190889370932755
6.39070968E8	13.64153627311522
6.47317045E8	15.286764705882353
6.55563122E8	9.36056338028169
6.63809199E8	2.9310225303292894
6.72055276E8	6.831649831649831
6.80301353E8	12.422442244224422
6.87463846E8	5.341317365269461
6.90580999E8	0.0
6.91664583E8	31.1280276816609
6.96793507E8	9.72887537993921
7.05039584E8	7.780904522613065
7.13285661E8	3.2683427398665983
7.21531738E8	19.792792792792792
7.29777815E8	7.523809523809524
7.38023892E8	7.740434332988625
7.46269969E8	8.431061806656102
7.54516046E8	7.264347826086957
7.62762123E8	1.6124098280631338
7.710082E8	5.246448424953675
7.79254277E8	9.585106382978724
7.87500354E8	2.0819423368740515
7.95746431E8	12.19645732689211
8.03992508E8	8.285714285714286
8.12238585E8	5.2621023513139695
8.20484662E8	9.268387096774193
8.28730739E8	12.929463171036204
8.36976816E8	9.48168249660787
8.45222893E8	13.93628640776699
8.5346897E8	7.28511354079058
8.61715047E8	7.931274131274131
8.69961124E8	9.335514574657942
8.774787075E8	9.427246790299572
8.80978107E8	0.0
8.817066005E8	4.609756097560975
8.86453278E8	20.452380952380953
8.94699355E8	26.70059880239521
9.02945432E8	2.3289902280130295
9.11191509E8	11.598553345388789
9.19437586E8	7.2423046566692975
9.27683663E8	3.469298245614035
9.3592974E8	5.902548725637182
9.44175817E8	16.834183673469386
9.52421894E8	2.527044025157233
9.60667971E8	9.968683274021352
9.68914048E8	20.244027303754265
9.77160125E8	4.742509769865393
9.85406202E8	3.75427485750475
9.93652279E8	4.468313641245972
1.001898356E9	2.8265625
1.010144433E9	8.282392026578073
1.01839051E9	6.823303457106274
